"","weave","exposure","target","replication","info"
"275","ds","bigm","goalinfo8","76",7.74282650915223
"276","ds","bigm","goalinfo8","77",7.74013538376191
"277","ds","bigm","goalinfo8","78",7.74421412607367
"278","ds","bigm","goalinfo8","79",7.73514683699953
"279","ds","bigm","goalinfo8","8",7.72834150217041
"280","ds","bigm","goalinfo8","80",7.73056439258145
"281","ds","bigm","goalinfo8","81",7.73904891880836
"282","ds","bigm","goalinfo8","82",7.74654628705047
"283","ds","bigm","goalinfo8","83",7.73014874168287
"284","ds","bigm","goalinfo8","84",7.7376478844326
"285","ds","bigm","goalinfo8","85",7.74172687400525
"286","ds","bigm","goalinfo8","86",7.74199671990387
"287","ds","bigm","goalinfo8","87",7.7431125189543
"288","ds","bigm","goalinfo8","88",7.75009716494649
"289","ds","bigm","goalinfo8","89",7.73613886535064
"290","ds","bigm","goalinfo8","9",7.7480752090757
"291","ds","bigm","goalinfo8","90",7.7500906470637
"292","ds","bigm","goalinfo8","91",7.72494019802326
"293","ds","bigm","goalinfo8","92",7.7344132370811
"294","ds","bigm","goalinfo8","93",7.72553913253068
"295","ds","bigm","goalinfo8","94",7.74323138035377
"296","ds","bigm","goalinfo8","95",7.72937390492983
"297","ds","bigm","goalinfo8","96",7.72052822370379
"298","ds","bigm","goalinfo8","97",7.74458801096238
"299","ds","bigm","goalinfo8","98",7.73317736193017
"300","ds","bigm","goalinfo8","99",7.7345765999013
"301","ds","bigm","maxinfo","1",8.41177914654331
"302","ds","bigm","maxinfo","10",8.40050177115202
"303","ds","bigm","maxinfo","100",8.41712385159761
"304","ds","bigm","maxinfo","11",8.44632868144197
"305","ds","bigm","maxinfo","12",8.43082840397375
"306","ds","bigm","maxinfo","13",8.4107687540674
"307","ds","bigm","maxinfo","14",8.41796886698176
"308","ds","bigm","maxinfo","15",8.41732932551768
"309","ds","bigm","maxinfo","16",8.41375859974449
"310","ds","bigm","maxinfo","17",8.41692086236398
